customer_id,name,email,phone,address
C00001,Anthony Cook,stephanie51@example.net,001-545-463-1632x227,"7878 Amanda Ways Apt. 821, Jeremiahmouth, NH 50526"
C00002,Stephanie Austin,christina63@example.org,+1-439-707-5225x63566,"96787 Adriana Run Suite 443, West Donaldville, VA 24876"
C00003,Michelle Yang,mariagilbert@example.com,793-688-9699x6168,"8315 Hernandez Green Apt. 672, Woodsmouth, WI 32536"
C00004,Michael Roth,solisdavid@example.com,681-241-8467x5964,"314 James Isle Suite 856, Beckview, MT 52670"
C00005,John Williams,pcastillo@example.org,(777)764-7243x1867,"0822 Underwood Manors, Tanyafurt, NC 65972"
C00006,Jon Anderson,umccarty@example.com,(504)294-5128,"31046 Rodriguez Points Apt. 158, Margaretport, AL 00700"
C00007,Lisa Green,jason57@example.org,540-997-7253,"072 Andrea Trail, New Brandonhaven, HI 53295"
C00008,Crystal Lopez,elliskimberly@example.org,001-695-225-1133x1753,"74783 Shelby Cove, Teresamouth, NH 41361"
C00009,Danny Price,morganwilliam@example.net,807.860.9357x208,"0875 Jacob Spring Apt. 736, Joshuatown, IL 48420"
C00010,William Sanchez,crhodes@example.org,881.970.7223x4813,"981 Joseph Manors Apt. 234, West Aliciaton, MN 47809"
C00011,Emily Smith,robert55@example.net,825-396-1729,"5831 Pruitt Walk, Gomezside, WY 73902"
C00012,Bailey Thomas,dillonshepard@example.org,(352)256-7222,"209 Robert Ports Apt. 787, East Michaelshire, FL 39253"
C00013,Alexander French,vle@example.net,001-884-238-7887x72743,"PSC 1872, Box 8433, APO AE 67994"
C00014,Joseph Gomez,jeremiahthompson@example.org,479.347.5565,"25282 Gabriella Rapids, Wolfeside, MN 04919"
C00015,Matthew Carter,moorejessica@example.com,480-957-4173x855,"81220 Robert Row Suite 244, Loveberg, MD 67884"
C00016,Michelle Rodriguez,hudsonmargaret@example.net,6392066247,"69121 Evelyn Land Suite 619, East Davidmouth, HI 80187"
C00017,Kyle Lee,samuel55@example.net,901.983.4564x757,"646 Pope Mountains, South Steven, DE 52733"
C00018,Austin Flowers,andersonhannah@example.org,369-843-4323x53880,"5947 Jeff Freeway, Port Brettfort, MT 04460"
C00019,Harold Farmer,oliverchloe@example.net,964-867-1986x3388,"34282 Vincent Circle Apt. 501, Jerrychester, NC 37845"
C00020,Ronald Brown,juliajenkins@example.net,471.526.7830,"Unit 2258 Box 5216, DPO AA 34961"
C00021,Bill Stevenson,jason29@example.org,001-746-886-5368x659,"PSC 5639, Box 7875, APO AP 81196"
C00022,Benjamin Pope,kwarner@example.org,926.707.6818x1296,"85339 Knight Groves Apt. 876, Lake Marystad, HI 74754"
C00023,Amanda Carpenter,john83@example.org,001-250-978-9234x74554,"7408 Hunter Crescent, Hansenmouth, NJ 33624"
C00024,Courtney Savage,sarah79@example.org,+1-202-383-3664,"571 Christine Throughway Suite 014, Garciashire, VT 80056"
C00025,Jason Robbins,brandtjoshua@example.net,2045563900,"86948 Shawn Points Apt. 097, South Mary, NC 64799"
C00026,Theresa Glass,mpeters@example.org,+1-269-263-8349x175,"338 Patel Radial Apt. 356, Staciebury, WI 87954"
C00027,Eric Hill,vbruce@example.org,643.791.5525x02936,"20975 Mark Forge Suite 322, Port Anne, AK 32135"
C00028,Johnny Gibson,hansentiffany@example.net,+1-844-572-8666,"Unit 5169 Box 1217, DPO AA 44680"
C00029,Summer Hood,srichardson@example.org,(900)390-6940x62600,"6745 Johnston Meadow, West Stephaniehaven, WI 15073"
C00030,Alexis Arnold,patricklisa@example.net,896.963.5054,"586 Christina Garden, South Cherylview, OK 48825"
C00031,Sierra Stewart,susanbrowning@example.com,5583485653,"8558 Fleming Summit, South Davidshire, AZ 03057"
C00032,Colton Green,yolandabarnes@example.com,+1-387-210-9527x943,"6235 Amanda Summit, Port Shelby, IL 88075"
C00033,Darren Guerrero,fthomas@example.com,+1-375-681-3813x787,"3447 Andrew Oval, Darrenchester, DC 34473"
C00034,Seth Knox,inguyen@example.com,+1-735-915-7902x02580,"917 Hernandez Courts Suite 369, West Marcus, OR 57823"
C00035,Michelle Smith,qhart@example.com,001-752-643-4577,"411 Renee Manors Apt. 203, Lake Krista, OH 70478"
C00036,Brittney Jones,jennifer42@example.com,001-225-564-9153x302,"5631 Joshua Pass Suite 415, Aliciahaven, AZ 32823"
C00037,Samantha Estes,fcooper@example.com,226-249-0367x677,"3062 Gray Well, Michaelborough, AL 91310"
C00038,Thomas Brown,george03@example.com,727-327-4886x2670,"95361 Robertson Station Apt. 187, New Dorothy, LA 62326"
C00039,Devon Perry,lyonsjoshua@example.net,477.730.8272x874,"621 Ariel Keys Apt. 681, Scottville, VI 43992"
C00040,David Simmons,daniel05@example.com,831.220.2358x3766,"27131 Chad Port, Lewismouth, VA 64191"
C00041,Shelby Torres,andrea53@example.com,390-230-1918,"43377 Nichols Inlet, Coleville, MN 68381"
C00042,John Stewart,taylorrichardson@example.net,+1-473-913-0677,"8559 Laura Union Suite 729, Virginiatown, RI 41926"
C00043,Brian Lin,aliciareed@example.net,460-498-4914x8367,"81825 Alyssa Course, Port Stephanie, WI 21692"
C00044,Scott Kelley,julia33@example.org,(589)910-9112x37639,"92961 Teresa Roads, Port Michaelfurt, FM 88185"
C00045,Jennifer Smith,billyyang@example.net,(878)312-4295,"Unit 3964 Box 2477, DPO AP 14240"
C00046,Kelly Wiggins,vzhang@example.net,001-278-958-8291x72551,"PSC 6885, Box 8497, APO AE 77460"
C00047,Richard Johnson,stricklandrebecca@example.net,(527)585-6262x5096,"72367 Bobby Club Suite 651, Port Susan, MA 20043"
C00048,John Chaney,carolynsaunders@example.org,962-395-3181,"986 Fitzgerald Ways Apt. 960, Andersonburgh, GU 61622"
C00049,Todd Anderson,pneal@example.com,370-874-8907x654,"0134 Johnson Ports Suite 912, Johnathanhaven, MT 29610"
C00050,Karen Castro,tammycarey@example.org,(692)901-7119,"PSC 0307, Box 1306, APO AP 49762"
C00051,Anna Wolfe,mrose@example.com,397-321-3420x0460,"0412 Chang Highway, Pennyfurt, PA 02052"
C00052,Julie Flores,harmonsteven@example.net,(809)693-6960,"7725 Brown Fort, Jonathanberg, VT 65987"
C00053,William Burke,shanegarcia@example.com,912-303-8661,"4897 Morton Ville Suite 357, Adamfurt, ND 73891"
C00054,Monica Blake,edyer@example.com,(641)454-3728x49181,"39262 Huff Haven, Jenniferton, AR 73060"
C00055,Jessica Smith,tobrien@example.net,(549)682-8883,"536 Gene Flats Apt. 225, West Lisafurt, AR 87244"
C00056,Denise Peters,imercer@example.net,(232)489-5831x176,"14544 Mikayla Brook Suite 757, Davidport, ID 71770"
C00057,Kevin Adams,charlesfriedman@example.com,+1-623-555-8401x391,"2008 Mueller Valleys, Zacharyview, IA 54475"
C00058,John Davis,powelllisa@example.org,+1-700-244-7975,"4534 Barbara Crossroad, Lake Amanda, AK 37606"
C00059,Joshua Mitchell,barbara07@example.com,001-407-321-8840,"8217 Heather Street Apt. 189, New Krystal, NC 39523"
C00060,Lawrence Hawkins,erica14@example.net,+1-959-712-1647x662,"62379 Michael Villages, East Kevinstad, FL 00969"
C00061,Joseph Lee,allisonayers@example.org,300.200.3548x50751,"443 Bradshaw Streets, Hortonville, HI 28172"
C00062,Christine Davis,clarkdanielle@example.net,+1-981-818-6565,"536 Nicholas Mall Suite 336, Mooreton, IA 23425"
C00063,Bryan Fleming,jerryhanson@example.com,(760)542-0457x6587,"4243 James Skyway, Katieborough, PW 88241"
C00064,Mrs. Jennifer Nelson,kelseymatthews@example.net,246-962-1807x304,"00278 Higgins Pass Apt. 172, North Grantshire, OH 33462"
C00065,Pamela Barnes,lisa65@example.com,615-212-2793x706,"357 Andre Stream Apt. 798, East Barbaramouth, ME 85990"
C00066,Michaela Gillespie,ltate@example.org,001-641-676-3388x1091,"Unit 3796 Box 8473, DPO AP 69837"
C00067,Lisa Hall,valenciamark@example.org,+1-814-521-6004x46518,"59661 Anthony View Apt. 127, Kevinburgh, MP 24993"
C00068,Jose Rasmussen,maureenperez@example.org,(204)965-4500,"688 Morales Points Apt. 745, North Katherinefurt, VI 86530"
C00069,Travis Frye,welchcody@example.com,9715793702,"PSC 4016, Box 0203, APO AP 27573"
C00070,April Gordon,vfoster@example.com,637-681-1439x823,"045 Joseph Ridge, Port Justin, MP 46616"
C00071,Roger Smith,bradleygreen@example.org,818-931-7953,"8600 Elizabeth Cape Suite 831, Dustinmouth, WA 60605"
